post_id,username,poster_followers,text_preview,published_at,bucket_ts,age_minutes,views,likes,replies,reposts,quotes,delta_views,delta_likes,delta_replies,delta_reposts,delta_quotes,delta_engagement_rate,virality_score
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 15:15:00+00,19.3500000000000000,0,1,0,0,0,0,1,0,0,0,0,0
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 15:30:00+00,34.3500000000000000,190,1,0,0,0,190,0,0,0,0,0.0000,0.5263
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 16:00:00+00,64.3500000000000000,300,1,0,0,0,110,0,0,0,0,0.0000,0.3333
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 16:30:00+00,94.3500000000000000,315,1,2,0,0,15,0,2,0,0,13.3333,2.2222
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 16:45:00+00,109.3500000000000000,341,1,2,0,0,26,0,0,0,0,0.0000,2.0528
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 17:15:00+00,139.3500000000000000,381,1,2,0,0,40,0,0,0,0,0.0000,1.8373
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 17:45:00+00,169.3500000000000000,400,1,2,0,0,19,0,0,0,0,0.0000,1.7500
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 18:00:00+00,184.3500000000000000,412,1,2,0,0,12,0,0,0,0,0.0000,1.6990
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 18:30:00+00,214.3500000000000000,431,1,2,0,0,19,0,0,0,0,0.0000,1.6241
35a761f2-fec9-4f22-a408-502cce58653c,ralf_oraoraora,0,"最近用 Ghostty 常閃退，每次重開 session 都有點小崩潰

現在在試不同的終端機工具
",2026-01-09 14:55:39+00,2026-01-09 18:45:00+00,229.3500000000000000,431,1,2,0,0,0,0,0,0,0,0,1.6241
